"","Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","artist_lower","artist_no_featuring_lower","track_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","artist_no_featuring_lower_no_spec","artist mbid"
"1","2Gether","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)",3,"The Hardest Part Of Breaking Up ","2Gether","2Gether","2gether","2gether","the hardest part of breaking up (is getting back your stuff)","the hardest part of breaking up ","the hardest part of breaking up ","thehardestpartofbreakingup","2gether",NA
"2","All Star Tribute","What's Going On",10,"What's Going On","All","Tribute","all star tribute","all star tribute","what's going on","what's going on","what s going on","whatsgoingon","all star tribute",NA
"3","ATC","Around The World (La La La La La)",18,"Around The World ","ATC","ATC","atc","atc","around the world (la la la la la)","around the world ","around the world ","aroundtheworld","atc",NA
"4","Bad Boy's Da Band","Bad Boy This Bad Boy That",9,"Bad Boy This Bad Boy That","Bad","Band","bad boy's da band","bad boy's da band","bad boy this bad boy that","bad boy this bad boy that","bad boy this bad boy that","badboythisbadboythat","bad boys da band",NA
"5","Changing Faces","That Other Woman",11,"That Other Woman","Changing","Faces","changing faces","changing faces","that other woman","that other woman","that other woman","thatotherwoman","changing faces",NA
"6","Clay Davidson","Unconditional",20,"Unconditional","Clay","Davidson","clay davidson","clay davidson","unconditional","unconditional","unconditional","unconditional","clay davidson",NA
"7","Craig Morgan","Almost Home",14,"Almost Home","Craig","Morgan","craig morgan","craig morgan","almost home","almost home","almost home","almosthome","craig morgan",NA
"8","David Lee Murphy","Loco",18,"Loco","David","Murphy","david lee murphy","david lee murphy","loco","loco","loco","loco","david lee murphy",NA
"9","DJ Sammy & Yanou Featuring Do","Heaven",27,"Heaven","DJ","Do","dj sammy & yanou featuring do","dj sammy","heaven","heaven","heaven","heaven","dj sammy",NA
"10","Drama","Left, Right, Left",13,"Left, Right, Left","Drama","Drama","drama","drama","left, right, left","left, right, left","left  right  left","leftrightleft","drama",NA
"11","Good Charlotte","Girls And Boys",13,"Girls And Boys","Good","Charlotte","good charlotte","good charlotte","girls and boys","girls and boys","girls and boys","girlsandboys","good charlotte",NA
"12","Good Charlotte","Hold On",5,"Hold On","Good","Charlotte","good charlotte","good charlotte","hold on","hold on","hold on","holdon","good charlotte",NA
"13","Good Charlotte","Lifestyles Of The Rich And Famous",20,"Lifestyles Of The Rich And Famous","Good","Charlotte","good charlotte","good charlotte","lifestyles of the rich and famous","lifestyles of the rich and famous","lifestyles of the rich and famous","lifestylesoftherichandfamous","good charlotte",NA
"14","Good Charlotte","The Anthem",11,"The Anthem","Good","Charlotte","good charlotte","good charlotte","the anthem","the anthem","the anthem","theanthem","good charlotte",NA
"15","Javier","Crazy",8,"Crazy","Javier","Javier","javier","javier","crazy","crazy","crazy","crazy","javier",NA
"16","M.V.P. (Most Valuable Playas) Featuring Stagga Lee","Roc Ya Body ""Mic Check 1,2""",8,"Roc Ya Body ""Mic Check 1,2""","M","Lee","m.v.p. (most valuable playas) featuring stagga lee","m.v.p. (most valuable playas)","roc ya body ""mic check 1,2""","roc ya body ""mic check 1,2""","roc ya body  mic check 1 2 ","rocyabodymiccheck12","mvp most valuable playas",NA
"17","Marc Nelson","15 Minutes",16,"15 Minutes","Marc","Nelson","marc nelson","marc nelson","15 minutes","15 minutes","15 minutes","15minutes","marc nelson",NA
"18","Next","Too Close",7,"Too Close","Next","Next","next","next","too close","too close","too close","tooclose","next",NA
"19","Next","Wifey",21,"Wifey","Next","Next","next","next","wifey","wifey","wifey","wifey","next",NA
"20","Santana Featuring Alex Band Or Chad Kroeger","Why Don't You & I",35,"Why Don't You & I","Santana","Kroeger","santana featuring alex band or chad kroeger","santana","why don't you & i","why don't you & i","why don t you   i","whydontyoui","santana",NA
"21","Santana Featuring Michelle Branch","The Game Of Love",37,"The Game Of Love","Santana","Branch","santana featuring michelle branch","santana","the game of love","the game of love","the game of love","thegameoflove","santana",NA
"22","Santana Featuring Rob Thomas","Smooth",58,"Smooth","Santana","Thomas","santana featuring rob thomas","santana","smooth","smooth","smooth","smooth","santana",NA
"23","Santana Featuring The Product G&B","Maria Maria",26,"Maria Maria","Santana","B","santana featuring the product g&b","santana","maria maria","maria maria","maria maria","mariamaria","santana",NA
"24","Soluna","For All Time",11,"For All Time","Soluna","Soluna","soluna","soluna","for all time","for all time","for all time","foralltime","soluna",NA
"25","Sting Featuring Cheb Mami","Desert Rose",26,"Desert Rose","Sting","Mami","sting featuring cheb mami","sting","desert rose","desert rose","desert rose","desertrose","sting",NA
"26","Sunday","I Know",2,"I Know","Sunday","Sunday","sunday","sunday","i know","i know","i know","iknow","sunday",NA
